Time_sec,Pan_Actual_deg,Pan_Target_deg,Pan_Error_deg,Tilt_Actual_deg,Tilt_Target_deg,Tilt_Error_deg,Incidence_deg,IsLocked,LDR_Right_V,LDR_Left_V,LDR_Up_V,LDR_Down_V,Current_Pan_A,Current_Tilt_A,Velocity_Pan_dps,Velocity_Tilt_dps,Power_Pan_W,Power_Tilt_W,Power_Total_W
0.000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0081,1,4.3595,4.3595,4.3595,4.3595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.010,0.0000,0.0250,0.0250,0.0000,0.0005,0.0005,0.0082,1,4.3595,4.3595,4.3595,4.3595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.020,0.0000,0.0500,0.0500,0.0000,0.0010,0.0010,0.0083,1,4.3595,4.3595,4.3595,4.3595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.030,0.0000,0.0750,0.0750,0.0000,0.0015,0.0015,0.0086,1,4.3595,4.3595,4.3595,4.3595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.040,0.0000,0.1000,0.1000,0.0000,0.0020,0.0020,0.0090,1,4.3595,4.3595,4.3595,4.3595,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
0.050,0.0000,0.1250,0.1250,0.0000,0.0025,0.0025,0.0095,1,4.3595,4.3595,4.3595,4.3595,0.1898,0.0000,0.0000,0.0000,1.1385,0.0000,1.1385
0.060,0.0000,0.1500,0.1500,0.0000,0.0030,0.0030,0.0101,1,4.3595,4.3595,4.3595,4.3595,0.1937,0.0000,0.0000,0.0000,1.1625,0.0000,1.1625
0.070,0.0000,0.1750,0.1750,0.0000,0.0035,0.0035,0.0107,1,4.3595,4.3595,4.3595,4.3595,0.1977,0.0000,0.0000,0.0000,1.1864,0.0000,1.1864
0.080,0.0000,0.2000,0.2000,0.0000,0.0040,0.0040,0.0114,1,4.3595,4.3595,4.3595,4.3595,0.2017,0.0000,0.0000,0.0000,1.2104,0.0000,1.2104
0.090,0.0000,0.2250,0.2250,0.0000,0.0045,0.0045,0.0121,1,4.3595,4.3595,4.3596,4.3595,0.2057,0.0000,0.0000,0.0000,1.2343,0.0000,1.2343
0.100,0.0000,0.2500,0.2500,0.0000,0.0050,0.0050,0.0129,1,4.3595,4.3595,4.3596,4.3595,0.2097,0.0000,0.0000,0.0000,1.2583,0.0000,1.2583
0.110,0.0000,0.2750,0.2750,0.0000,0.0055,0.0055,0.0137,1,4.3595,4.3595,4.3596,4.3595,0.2137,0.0000,0.0000,0.0000,1.2822,0.0000,1.2822
0.120,0.0000,0.3000,0.3000,0.0000,0.0060,0.0060,0.0145,1,4.3595,4.3595,4.3596,4.3595,0.2177,0.0000,0.0000,0.0000,1.3062,0.0000,1.3062
0.130,0.0000,0.3250,0.3250,0.0000,0.0065,0.0065,0.0153,1,4.3595,4.3595,4.3596,4.3595,0.2217,0.0000,0.0000,0.0000,1.3301,0.0000,1.3301
0.140,0.0000,0.3500,0.3500,0.0000,0.0070,0.0070,0.0162,1,4.3595,4.3595,4.3596,4.3595,0.2257,0.0000,0.0000,0.0000,1.3541,0.0000,1.3541
0.150,0.0000,0.3750,0.3750,0.0000,0.0075,0.0075,0.0170,1,4.3595,4.3595,4.3596,4.3595,0.2297,0.0000,0.0000,0.0000,1.3781,0.0000,1.3781
0.160,0.0000,0.4000,0.4000,0.0000,0.0080,0.0080,0.0179,1,4.3595,4.3595,4.3596,4.3595,0.2337,0.0000,0.0000,0.0000,1.4020,0.0000,1.4020
0.170,0.0000,0.4250,0.4250,0.0000,0.0085,0.0085,0.0188,1,4.3595,4.3595,4.3596,4.3594,0.2377,0.0000,0.0000,0.0000,1.4260,0.0000,1.4260
0.180,0.0000,0.4500,0.4500,0.0000,0.0090,0.0090,0.0197,1,4.3595,4.3595,4.3596,4.3594,0.2417,0.0000,0.0000,0.0000,1.4499,0.0000,1.4499
0.190,0.0000,0.4750,0.4750,0.0000,0.0095,0.0095,0.0207,1,4.3595,4.3595,4.3596,4.3594,0.2456,0.0000,0.0000,0.0000,1.4739,0.0000,1.4739
0.200,0.0000,0.5000,0.5000,0.0000,0.0100,0.0100,0.0216,1,4.3595,4.3595,4.3596,4.3594,0.2496,0.0000,0.0000,0.0000,1.4978,0.0000,1.4978
0.210,0.0000,0.5250,0.5250,0.0000,0.0105,0.0105,0.0225,1,4.3595,4.3595,4.3596,4.3594,0.2536,0.0000,0.0000,0.0000,1.5218,0.0000,1.5218
0.220,0.0000,0.5500,0.5500,0.0000,0.0110,0.0110,0.0234,1,4.3595,4.3595,4.3596,4.3594,0.2576,0.0000,0.0000,0.0000,1.5457,0.0000,1.5457
0.230,0.0000,0.5750,0.5750,0.0000,0.0115,0.0115,0.0244,1,4.3595,4.3595,4.3596,4.3594,0.2616,0.0000,0.0000,0.0000,1.5697,0.0000,1.5697
0.240,0.0000,0.6000,0.6000,0.0000,0.0120,0.0120,0.0253,1,4.3595,4.3595,4.3596,4.3594,0.2656,0.0000,0.0000,0.0000,1.5936,0.0000,1.5936
0.250,0.0000,0.6250,0.6250,0.0000,0.0126,0.0126,0.0263,1,4.3595,4.3595,4.3596,4.3594,0.2696,0.0000,0.0000,0.0000,1.6176,0.0000,1.6176
0.260,0.0000,0.6500,0.6500,0.0000,0.0131,0.0131,0.0272,1,4.3595,4.3595,4.3596,4.3594,0.2736,0.0000,0.0000,0.0000,1.6416,0.0000,1.6416
0.270,0.2130,0.6750,0.4620,0.0000,0.0136,0.0136,0.0282,1,4.3595,4.3595,4.3596,4.3594,0.2776,0.0000,21.3006,0.0000,1.6655,0.0000,1.6655
0.280,0.3957,0.8065,0.4108,0.0000,0.0141,0.0141,0.0291,1,4.3595,4.3595,4.3596,4.3594,0.2637,0.0000,18.2708,0.0000,1.5823,0.0000,1.5823
0.290,0.4915,0.9229,0.4314,0.0000,0.0146,0.0146,0.0301,1,4.3595,4.3595,4.3596,4.3594,0.2532,0.0000,9.5769,0.0000,1.5192,0.0000,1.5192
0.300,0.5341,0.9957,0.4616,0.0000,0.0151,0.0151,0.0311,1,4.3595,4.3595,4.3596,4.3594,0.2499,0.0000,4.2655,0.0000,1.4994,0.0000,1.4994
0.310,0.5651,1.0421,0.4770,0.0000,0.0156,0.0156,0.0320,1,4.3595,4.3595,4.3596,4.3594,0.2507,0.0000,3.0912,0.0000,1.5043,0.0000,1.5043
0.320,0.6036,1.0825,0.4789,0.0000,0.0161,0.0161,0.0330,1,4.3595,4.3595,4.3596,4.3594,0.2523,0.0000,3.8559,0.0000,1.5138,0.0000,1.5138
0.330,0.6512,1.1268,0.4756,0.0000,0.0166,0.0166,0.0340,1,4.3595,4.3595,4.3596,4.3594,0.2532,0.0000,4.7580,0.0000,1.5191,0.0000,1.5191
0.340,0.7029,1.1756,0.4727,0.0000,0.0171,0.0171,0.0350,1,4.3595,4.3595,4.3596,4.3594,0.2533,0.0000,5.1725,0.0000,1.5200,0.0000,1.5200
0.350,0.7549,1.2265,0.4716,0.0000,0.0176,0.0176,0.0359,1,4.3595,4.3595,4.3597,4.3594,0.2532,0.0000,5.1966,0.0000,1.5191,0.0000,1.5191
0.360,0.8058,1.2774,0.4717,0.0000,0.0181,0.0181,0.0369,1,4.3595,4.3595,4.3597,4.3594,0.2530,0.0000,5.0886,0.0000,1.5181,0.0000,1.5181
0.370,0.8558,1.3279,0.4721,0.0000,0.0186,0.0186,0.0379,1,4.3595,4.3595,4.3597,4.3594,0.2530,0.0000,5.0040,0.0000,1.5177,0.0000,1.5177
0.380,0.9056,1.3779,0.4723,0.0000,0.0191,0.0191,0.0389,1,4.3595,4.3595,4.3597,4.3594,0.2530,0.0000,4.9761,0.0000,1.5177,0.0000,1.5177
0.390,0.9554,1.4278,0.4724,0.0000,0.0196,0.0196,0.0398,1,4.3595,4.3595,4.3597,4.3594,0.2530,0.0000,4.9817,0.0000,1.5179,0.0000,1.5179
0.400,1.0053,1.4777,0.4724,0.0000,0.0201,0.0201,0.0408,1,4.3595,4.3595,4.3597,4.3594,0.2530,0.0000,4.9941,0.0000,1.5179,0.0000,1.5179
0.410,1.0553,1.5277,0.4723,0.0000,0.0206,0.0206,0.0418,1,4.3595,4.3595,4.3597,4.3594,0.2530,0.0000,5.0013,0.0000,1.5180,0.0000,1.5180
0.420,1.1054,1.5777,0.4723,0.0000,0.0211,0.0211,0.0428,1,4.3595,4.3595,4.3597,4.3594,0.2530,0.0000,5.0027,0.0000,1.5180,0.0000,1.5180
