Latitude (decimal degrees):	39.925
Longitude (decimal degrees):	32.837
Elevation (m):	904
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,0.0,-0.28,0.97,0.0
20230101:0110,0.0,0.0,0.0,0.0,-0.7,0.97,0.0
20230101:0210,0.0,0.0,0.0,0.0,-0.88,1.03,0.0
20230101:0310,0.0,0.0,0.0,0.0,-1.14,1.1,0.0
20230101:0410,0.0,0.0,0.0,0.0,-1.28,1.17,0.0
20230101:0510,0.0,0.0,0.0,0.0,-1.47,1.17,0.0
20230101:0610,78.01,45.0,0.0,8.57,-1.37,1.1,0.0
20230101:0710,203.01,73.0,0.0,16.62,0.07,1.31,0.0
20230101:0810,307.01,88.0,0.0,22.72,3.0,1.45,0.0
20230101:0910,369.01,95.0,0.0,26.31,4.76,1.52,0.0
20230101:1010,395.01,88.0,0.0,26.93,5.95,1.66,0.0
20230101:1110,350.01,85.0,0.0,24.49,6.6,1.59,0.0
20230101:1210,247.01,80.0,0.0,19.32,6.76,1.45,0.0
20230101:1310,115.01,63.0,0.0,11.98,6.33,1.17,0.0
20230101:1410,18.0,9.87,0.0,3.03,5.06,1.45,0.0
20230101:1510,0.0,0.0,0.0,0.0,1.89,1.52,0.0
20230101:1610,0.0,0.0,0.0,0.0,1.17,1.38,0.0
20230101:1710,0.0,0.0,0.0,0.0,0.62,1.31,0.0
20230101:1810,0.0,0.0,0.0,0.0,-0.37,1.24,0.0
20230101:1910,0.0,0.0,0.0,0.0,-1.51,1.31,0.0
20230101:2010,0.0,0.0,0.0,0.0,-1.81,1.31,0.0
20230101:2110,0.0,0.0,0.0,0.0,-1.78,1.24,0.0
20230101:2210,0.0,0.0,0.0,0.0,-1.42,1.17,0.0
20230101:2310,0.0,0.0,0.0,0.0,-1.37,0.9,0.0
20230102:0010,0.0,0.0,0.0,0.0,-1.55,0.76,0.0
20230102:0110,0.0,0.0,0.0,0.0,-1.97,0.62,0.0
20230102:0210,0.0,0.0,0.0,0.0,-2.11,0.55,0.0
20230102:0310,0.0,0.0,0.0,0.0,-2.21,0.55,0.0
20230102:0410,0.0,0.0,0.0,0.0,-2.23,0.69,0.0
20230102:0510,0.0,0.0,0.0,0.0,-2.19,0.76,0.0
20230102:0610,86.01,42.0,0.0,8.57,-1.92,0.76,0.0
20230102:0710,215.01,69.0,0.0,16.64,-0.83,0.76,0.0
20230102:0810,314.01,87.0,0.0,22.77,2.43,1.03,0.0
20230102:0910,377.01,95.0,0.0,26.38,4.64,1.24,0.0
20230102:1010,393.01,93.0,0.0,27.02,6.08,1.24,0.0
20230102:1110,340.01,94.0,0.0,24.6,6.92,1.17,0.0
20230102:1210,247.01,83.0,0.0,19.44,7.17,0.97,0.0
20230102:1310,118.01,65.0,0.0,12.11,6.76,0.55,0.0
20230102:1410,20.0,10.41,0.0,3.17,5.73,0.41,0.0
20230102:1510,0.0,0.0,0.0,0.0,4.07,0.48,0.0
20230102:1610,0.0,0.0,0.0,0.0,2.63,0.62,0.0
20230102:1710,0.0,0.0,0.0,0.0,1.58,0.62,0.0
