Latitude (decimal degrees):	36.897
Longitude (decimal degrees):	30.713
Elevation (m):	55
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20050101:0009,0.0,0.0,0.0,0.0,13.51,1.17,0.0
20050101:0109,0.0,0.0,0.0,0.0,13.22,1.38,0.0
20050101:0209,0.0,0.0,0.0,0.0,12.91,1.72,0.0
20050101:0309,0.0,0.0,0.0,0.0,12.72,2.07,0.0
20050101:0409,0.0,0.0,0.0,0.0,12.51,2.48,0.0
20050101:0509,0.0,0.0,0.0,0.0,12.68,2.55,0.0
20050101:0609,0.0,12.0,0.0,9.15,12.75,2.62,0.0
20050101:0709,128.01,88.0,0.0,17.85,13.37,2.41,0.0
20050101:0809,216.01,127.0,0.0,24.66,14.9,1.72,0.0
20050101:0909,121.0,221.0,0.0,28.91,15.21,1.03,0.0
20050101:1009,316.01,154.0,0.0,30.05,16.25,1.17,0.0
20050101:1109,307.01,146.0,0.0,27.91,16.29,1.79,0.0
20050101:1209,269.01,119.0,0.0,22.79,16.17,2.28,0.0
20050101:1309,145.01,109.0,0.0,15.32,16.01,2.34,0.0
20050101:1409,0.0,24.0,0.0,6.15,15.54,2.07,0.0
20050101:1509,0.0,0.0,0.0,0.0,15.56,1.24,0.0
20050101:1609,0.0,0.0,0.0,0.0,15.18,0.62,0.0
20050101:1709,0.0,0.0,0.0,0.0,14.48,0.41,0.0
20050101:1809,0.0,0.0,0.0,0.0,14.17,0.34,0.0
20050101:1909,0.0,0.0,0.0,0.0,13.91,0.62,0.0
20050101:2009,0.0,0.0,0.0,0.0,13.35,1.17,0.0
20050101:2109,0.0,0.0,0.0,0.0,13.35,1.72,0.0
20050101:2209,0.0,0.0,0.0,0.0,12.98,2.34,0.0
20050101:2309,0.0,0.0,0.0,0.0,13.15,3.45,0.0
20050102:0009,0.0,0.0,0.0,0.0,12.95,3.52,0.0
20050102:0109,0.0,0.0,0.0,0.0,12.87,3.93,0.0
20050102:0209,0.0,0.0,0.0,0.0,12.53,4.0,0.0
20050102:0309,0.0,0.0,0.0,0.0,12.1,3.93,0.0
20050102:0409,0.0,0.0,0.0,0.0,11.94,3.66,0.0
20050102:0509,0.0,0.0,0.0,0.0,11.77,3.17,0.0
20050102:0609,0.0,12.0,0.0,9.14,11.82,2.62,0.0
20050102:0709,38.0,119.0,0.0,17.86,12.1,2.34,0.0
20050102:0809,94.0,181.0,0.0,24.7,13.01,2.76,0.0
20050102:0909,298.01,142.0,0.0,28.98,13.61,3.1,0.0
20050102:1009,245.01,195.0,0.0,30.14,14.49,3.52,0.0
20050102:1109,234.01,189.0,0.0,28.02,15.12,3.66,0.0
20050102:1209,159.01,179.0,0.0,22.91,15.51,3.66,0.0
20050102:1309,0.0,56.0,0.0,15.45,15.6,3.17,0.0
20050102:1409,76.01,49.0,0.0,6.29,15.11,3.03,0.0
