Latitude (decimal degrees):	41.051
Longitude (decimal degrees):	29.011
Elevation (m):	60
Radiation database:	NASA-POWER


Slope: 0 deg.
Azimuth: 0 deg.
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20240101:0010,0.00,0.00,0.0,0.0,11.79,4.25,0.0
20240101:0110,0.00,0.00,0.0,0.0,11.58,4.59,0.0
20240101:0210,0.00,0.00,0.0,0.0,11.30,4.81,0.0
20240101:0310,0.00,0.00,0.0,0.0,11.07,4.89,0.0
20240101:0410,0.00,0.00,0.0,0.0,11.03,5.01,0.0
20240101:0510,7.78,0.00,0.0,0.0,11.12,5.26,0.0
20240101:0610,62.57,0.00,0.0,0.0,11.23,5.55,0.0
20240101:0710,166.16,0.00,0.0,0.0,11.35,5.93,0.0
20240101:0810,235.31,0.00,0.0,0.0,11.63,6.02,0.0
20240101:0910,272.22,0.00,0.0,0.0,12.32,5.82,0.0
20240101:1010,289.42,0.00,0.0,0.0,13.32,6.25,0.0
20240101:1110,237.56,0.00,0.0,0.0,14.11,7.08,0.0
20240101:1210,170.74,0.00,0.0,0.0,14.33,7.60,0.0
20240101:1310,92.13,0.00,0.0,0.0,14.15,7.47,0.0
20240101:1410,16.33,0.00,0.0,0.0,13.77,7.18,0.0
20240101:1510,0.00,0.00,0.0,0.0,13.39,7.33,0.0
20240101:1610,0.00,0.00,0.0,0.0,13.25,7.63,0.0
20240101:1710,0.00,0.00,0.0,0.0,13.23,7.89,0.0
20240101:1810,0.00,0.00,0.0,0.0,13.11,8.19,0.0
20240101:1910,0.00,0.00,0.0,0.0,12.93,8.39,0.0
20240101:2010,0.00,0.00,0.0,0.0,12.73,8.46,0.0
20240101:2110,0.00,0.00,0.0,0.0,12.46,8.56,0.0
20240101:2210,0.00,0.00,0.0,0.0,12.11,8.56,0.0
20240101:2310,0.00,0.00,0.0,0.0,11.73,8.30,0.0
20240102:0010,0.00,0.00,0.0,0.0,11.48,8.19,0.0
20240102:0110,0.00,0.00,0.0,0.0,11.32,8.05,0.0
20240102:0210,0.00,0.00,0.0,0.0,11.20,7.95,0.0
20240102:0310,0.00,0.00,0.0,0.0,11.10,7.96,0.0
20240102:0410,0.00,0.00,0.0,0.0,11.03,7.99,0.0
20240102:0510,7.94,0.00,0.0,0.0,10.94,8.19,0.0
20240102:0610,48.90,0.00,0.0,0.0,10.85,8.41,0.0
20240102:0710,111.67,0.00,0.0,0.0,10.92,8.30,0.0
20240102:0810,146.97,0.00,0.0,0.0,11.24,7.89,0.0
20240102:0910,137.89,0.00,0.0,0.0,11.65,7.78,0.0
