Latitude (decimal degrees):	41.050
Longitude (decimal degrees):	29.010
Elevation (m):	79
Radiation database:	PVGIS-SARAH3


Slope: 0 deg. 
Azimuth: 0 deg. 
time,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,0.0,7.45,0.41,0.0
20230101:0110,0.0,0.0,0.0,0.0,6.92,0.55,0.0
20230101:0210,0.0,0.0,0.0,0.0,6.54,0.69,0.0
20230101:0310,0.0,0.0,0.0,0.0,6.01,0.9,0.0
20230101:0410,0.0,0.0,0.0,0.0,4.81,1.24,0.0
20230101:0510,0.0,0.0,0.0,0.0,4.86,1.79,0.0
20230101:0610,0.0,33.0,0.0,5.61,5.45,1.93,0.0
20230101:0710,135.01,72.0,0.0,13.9,6.11,1.86,0.0
20230101:0810,240.01,90.0,0.0,20.41,7.35,1.52,0.0
20230101:0910,308.01,100.0,0.0,24.58,9.23,1.31,0.0
20230101:1010,338.01,100.0,0.0,25.94,10.95,1.24,0.0
20230101:1110,306.01,98.0,0.0,24.3,12.06,1.03,0.0
20230101:1210,243.01,82.0,0.0,19.88,12.68,1.17,0.0
20230101:1310,121.01,70.0,0.0,13.18,12.81,1.66,0.0
20230101:1410,27.0,19.24,0.0,4.76,12.15,2.14,0.0
20230101:1510,0.0,0.0,0.0,0.0,10.77,2.48,0.0
20230101:1610,0.0,0.0,0.0,0.0,9.5,2.55,0.0
20230101:1710,0.0,0.0,0.0,0.0,8.52,2.55,0.0
20230101:1810,0.0,0.0,0.0,0.0,7.79,2.55,0.0
20230101:1910,0.0,0.0,0.0,0.0,7.31,2.62,0.0
20230101:2010,0.0,0.0,0.0,0.0,6.92,2.62,0.0
20230101:2110,0.0,0.0,0.0,0.0,6.54,2.55,0.0
20230101:2210,0.0,0.0,0.0,0.0,6.1,2.34,0.0
20230101:2310,0.0,0.0,0.0,0.0,5.84,2.07,0.0
20230102:0010,0.0,0.0,0.0,0.0,5.94,1.79,0.0
20230102:0110,0.0,0.0,0.0,0.0,5.98,1.72,0.0
20230102:0210,0.0,0.0,0.0,0.0,6.47,1.52,0.0
20230102:0310,0.0,0.0,0.0,0.0,7.08,1.31,0.0
20230102:0410,0.0,0.0,0.0,0.0,6.81,1.38,0.0
20230102:0510,0.0,0.0,0.0,0.0,4.92,1.79,0.0
20230102:0610,0.0,37.0,0.0,5.61,3.66,1.93,0.0
20230102:0710,93.0,94.0,0.0,13.91,5.26,1.59,0.0
20230102:0810,240.01,92.0,0.0,20.45,7.32,1.31,0.0
20230102:0910,317.01,98.0,0.0,24.64,8.66,1.17,0.0
20230102:1010,344.01,99.0,0.0,26.02,9.82,1.1,0.0
20230102:1110,308.01,99.0,0.0,24.41,10.51,1.24,0.0
20230102:1210,236.01,88.0,0.0,20.0,10.8,1.45,0.0
20230102:1310,116.01,74.0,0.0,13.31,10.69,1.45,0.0
20230102:1410,24.0,21.62,0.0,4.89,10.14,1.17,0.0
20230102:1510,0.0,0.0,0.0,0.0,9.05,0.69,0.0
20230102:1610,0.0,0.0,0.0,0.0,8.95,0.28,0.0
20230102:1710,0.0,0.0,0.0,0.0,8.66,0.62,0.0
20230102:1810,0.0,0.0,0.0,0.0,8.47,0.76,0.0
20230102:1910,0.0,0.0,0.0,0.0,8.42,0.28,0.0
20230102:2010,0.0,0.0,0.0,0.0,8.25,0.28,0.0
20230102:2110,0.0,0.0,0.0,0.0,8.07,0.76,0.0
20230102:2210,0.0,0.0,0.0,0.0,7.18,1.24,0.0
20230102:2310,0.0,0.0,0.0,0.0,4.58,1.66,0.0
20230103:0010,0.0,0.0,0.0,0.0,3.47,1.93,0.0
20230103:0110,0.0,0.0,0.0,0.0,3.57,2.28,0.0
20230103:0210,0.0,0.0,0.0,0.0,3.73,2.55,0.0
