-BEGIN HEADER-
NASA/POWER Source Native Resolution Hourly Data 
Dates (month/day/year): 01/01/2024 through 12/31/2024 in UTC
Location: Latitude  41.0514   Longitude 29.0106 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 59.56 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN      CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (Wh/m^2) 
T2M                    MERRA-2 Temperature at 2 Meters (C) 
WS10M                  MERRA-2 Wind Speed at 10 Meters (m/s) 
ALLSKY_SFC_SW_DIFF     CERES SYN1deg All Sky Surface Shortwave Diffuse Irradiance (Wh/m^2) 
SZA                    CERES SYN1deg Solar Zenith Angle (Degrees) 
-END HEADER-
YEAR,MO,DY,HR,ALLSKY_SFC_SW_DWN,T2M,WS10M,ALLSKY_SFC_SW_DIFF,SZA
2024,1,1,0,0.0,11.79,4.25,-999.0,-999.0
2024,1,1,1,0.0,11.58,4.59,-999.0,-999.0
2024,1,1,2,0.0,11.3,4.81,-999.0,-999.0
2024,1,1,3,0.0,11.07,4.89,-999.0,-999.0
2024,1,1,4,0.0,11.03,5.01,-999.0,-999.0
2024,1,1,5,7.78,11.12,5.26,-999.0,-999.0
2024,1,1,6,62.57,11.23,5.55,-999.0,-999.0
2024,1,1,7,166.16,11.35,5.93,-999.0,-999.0
2024,1,1,8,235.31,11.63,6.02,-999.0,-999.0
2024,1,1,9,272.22,12.32,5.82,-999.0,-999.0
2024,1,1,10,289.42,13.32,6.25,-999.0,-999.0
2024,1,1,11,237.56,14.11,7.08,-999.0,-999.0
2024,1,1,12,170.74,14.33,7.6,-999.0,-999.0
2024,1,1,13,92.13,14.15,7.47,-999.0,-999.0
2024,1,1,14,16.33,13.77,7.18,-999.0,-999.0
2024,1,1,15,0.0,13.39,7.33,-999.0,-999.0
2024,1,1,16,0.0,13.25,7.63,-999.0,-999.0
2024,1,1,17,0.0,13.23,7.89,-999.0,-999.0
2024,1,1,18,0.0,13.11,8.19,-999.0,-999.0
2024,1,1,19,0.0,12.93,8.39,-999.0,-999.0
2024,1,1,20,0.0,12.73,8.46,-999.0,-999.0
2024,1,1,21,0.0,12.46,8.56,-999.0,-999.0
2024,1,1,22,0.0,12.11,8.56,-999.0,-999.0
2024,1,1,23,0.0,11.73,8.3,-999.0,-999.0
2024,1,2,0,0.0,11.48,8.19,-999.0,-999.0
2024,1,2,1,0.0,11.32,8.05,-999.0,-999.0
2024,1,2,2,0.0,11.2,7.95,-999.0,-999.0
2024,1,2,3,0.0,11.1,7.96,-999.0,-999.0
2024,1,2,4,0.0,11.03,7.99,-999.0,-999.0
2024,1,2,5,7.94,10.94,8.19,-999.0,-999.0
2024,1,2,6,48.9,10.85,8.41,-999.0,-999.0
2024,1,2,7,111.67,10.92,8.3,-999.0,-999.0
2024,1,2,8,146.97,11.24,7.89,-999.0,-999.0
2024,1,2,9,137.89,11.65,7.78,-999.0,-999.0
2024,1,2,10,127.0,11.95,8.05,-999.0,-999.0
2024,1,2,11,73.52,12.11,8.79,-999.0,-999.0
2024,1,2,12,55.46,12.09,9.29,-999.0,-999.0
2024,1,2,13,22.03,11.98,9.21,-999.0,-999.0
2024,1,2,14,11.82,11.83,8.76,-999.0,-999.0
2024,1,2,15,0.0,11.59,7.71,-999.0,-999.0
2024,1,2,16,0.0,11.12,5.9,-999.0,-999.0
2024,1,2,17,0.0,10.29,4.58,-999.0,-999.0
2024,1,2,18,0.0,9.21,4.55,-999.0,-999.0
2024,1,2,19,0.0,8.24,4.53,-999.0,-999.0
2024,1,2,20,0.0,7.58,3.76,-999.0,-999.0
2024,1,2,21,0.0,7.27,2.79,-999.0,-999.0
